category  student level title duration
the-arts	Elementary/Primary	The Case For Andy Warhol	03:42
thinking-learning	High School/Upper Secondary	How do dogs "see" with their noses?	Alexandra Horowitz	04:28
thinking-learning	High School/Upper Secondary	How spontaneous brain activity keeps you alive	Nathan S. Jacobs	05:18
thinking-learning	High School/Upper Secondary	How do vaccines work?	Kelwalin Dhanasarnsombut	04:36
thinking-learning	High School/Upper Secondary	The evolution of the human eye	Joshua Harvey	04:44
thinking-learning	High School/Upper Secondary	Einstein's miracle year	Larry Lagerstrom	05:16
thinking-learning	High School/Upper Secondary	The benefits of a good night's sleep	Shai Marcu	05:45
thinking-learning	High School/Upper Secondary	I'm Batman	Amy Wray	05:48
thinking-learning	High School/Upper Secondary	The great brain debate	Ted Altschuler	05:20
thinking-learning	High School/Upper Secondary	Why elephants never forget	Alex Gendler	05:23
thinking-learning	High School/Upper Secondary	How playing an instrument benefits your brain	Anita Collins	04:45
thinking-learning	High School/Upper Secondary	Not all scientific studies are created equal	David H. Schwartz	04:27
thinking-learning	High School/Upper Secondary	The Infinite Hotel Paradox	Jeff Dekofsky	06:00
thinking-learning	High School/Upper Secondary	The business logic of sustainability	Ray Anderson	15:52
thinking-learning	High School/Upper Secondary	How art can help you analyze	Amy E. Herman	04:50
thinking-learning	High School/Upper Secondary	The surprising truth about what motivates us	10:48
thinking-learning	High School/Upper Secondary	How to set the table	Anna Post	03:27
thinking-learning	High School/Upper Secondary	Biofuels and bioprospecting for beginners	Craig A. Kohn	03:53
thinking-learning	High School/Upper Secondary	Leaders and followers: what tango teaches	07:33
thinking-learning	High School/Upper Secondary	Dare to educate Afghan girls	Shabana Basij-Rasikh	09:37
thinking-learning	High School/Upper Secondary	From mach-20 glider to humming bird drone	Regina Dugan	25:02
thinking-learning	High School/Upper Secondary	Networking for the networking averse	Lisa Green Chau	03:31
thinking-learning	High School/Upper Secondary	Working backward to solve problems	Maurice Ashley	05:57
thinking-learning	High School/Upper Secondary	The tribes we lead	Seth Godin	17:27
thinking-learning	High School/Upper Secondary	The danger of science denial	Michael Specter	16:30
thinking-learning	High School/Upper Secondary	What adults can learn from kids	Adora Svitak	08:14
thinking-learning	High School/Upper Secondary	Our loss of wisdom	Barry Schwartz	21:20
thinking-learning	High School/Upper Secondary	Do the green thing	Andy Hobsbawm	03:56
thinking-learning	High School/Upper Secondary	Calculating the odds of intelligent alien life	Jill Tarter	07:28
thinking-learning	High School/Upper Secondary	Praising slowness	Carl Honore	19:18
thinking-learning	High School/Upper Secondary	How to use experts—and when not to	Noreena Hertz	18:19
thinking-learning	College/University	This Video Will Make You Angry	07:26
thinking-learning	College/University	How to visualize one part per million	Kim Preshoff + The TED-Ed Community	02:28
thinking-learning	College/University	Why the metric system matters	Matt Anticole	05:08
thinking-learning	College/University	How the bra was invented | Moments of Vision 1	Jessica Oreck	01:43
thinking-learning	College/University	Can you solve the passcode riddle?	Ganesh Pai	04:08
thinking-learning	College/University	How playing sports benefits your body ... and your brain	Leah Lagos and Jaspal Ricky Singh	03:47
thinking-learning	College/University	What makes something "Kafkaesque"?	Noah Tavlin	05:04
thinking-learning	College/University	How interpreters juggle two languages at once	Ewandro Magalhaes	04:56
thinking-learning	College/University	4 Logical Paradoxes	07:26
thinking-learning	College/University	Can you solve the control room riddle?	Dennis Shasha	04:01
thinking-learning	College/University	Ralph Waldo Emerson and the Beauty of the Everyday	10:52
thinking-learning	College/University	Are You A Good Listener?	04:58
thinking-learning	College/University	The psychology behind irrational decisions	Sara Garofalo	04:39
thinking-learning	College/University	The surprising reason you feel awful when you're sick	Marco A. Sotomayor	05:01
thinking-learning	College/University	How to spot a fad diet	Mia Nacamulli	04:34
thinking-learning	College/University	Can you solve the locker riddle?	Lisa Winer	03:50
thinking-learning	College/University	The poet who painted with his words	Geneviève Emy	04:16
thinking-learning	College/University	5 tips to improve your critical thinking	Samantha Agoos	04:30
thinking-learning	College/University	Can you solve the frog riddle?	Derek Abbott	04:31
thinking-learning	College/University	The controversial origins of the Encyclopedia	Addison Anderson	05:21
thinking-learning	College/University	History vs. Napoleon Bonaparte	Alex Gendler	05:22
thinking-learning	College/University	Can you solve the temple riddle?	Dennis E. Shasha	04:13
thinking-learning	College/University	How science fiction can help predict the future	Roey Tzezana	05:22
thinking-learning	College/University	How statistics can be misleading	Mark Liddell	04:19
thinking-learning	College/University	The surprising (and invisible) signatures of sea creatures	Kakani Katija	06:38
thinking-learning	College/University	How do we know what color dinosaurs were?	Len Bloch	04:24
thinking-learning	College/University	The ethical dilemma of self-driving cars	Patrick Lin	04:16
thinking-learning	College/University	How exposing anonymous companies could cut down on crime	Global Witness	04:07
thinking-learning	College/University	Can you solve "Einstein’s Riddle"?	Dan Van der Vieren	05:13
thinking-learning	College/University	Let's make history…by recording it	StoryCorps & TED Prize	03:18
thinking-learning	College/University	Would you opt for a life with no pain?	Hayley Levitt and Bethany Rickwald	04:10
thinking-learning	College/University	How do hard drives work?	Kanawat Senanan	05:12
thinking-learning	College/University	How computers translate human language	Ioannis Papachimonas	04:45
thinking-learning	College/University	How a few scientists transformed the way we think about disease	Tien Nguyen	04:40
thinking-learning	College/University	The race to sequence the human genome	Tien Nguyen	05:00
thinking-learning	College/University	Can you solve the prisoner hat riddle?	Alex Gendler	04:35
thinking-learning	College/University	What "Orwellian" really means	Noah Tavlin	05:32
thinking-learning	College/University	The incredible collaboration behind the International Space Station	Tien Nguyen	04:58
thinking-learning	College/University	How memories form and how we lose them	Catharine Young	04:20
thinking-learning	College/University	The treadmill's dark and twisted past	Conor Heffernan	04:10
thinking-learning	College/University	What makes the Great Wall of China so extraordinary	Megan Campisi and Pen-Pen Chen	04:30
thinking-learning	College/University	How false news can spread	Noah Tavlin	03:42
thinking-learning	College/University	Why do some people go bald?	Sarthak Sinha	04:49
thinking-learning	College/University	A poetic experiment: Walt Whitman, interpreted by three animators	Justin Moore	03:29
thinking-learning	College/University	When to use apostrophes	Laura McClure	03:14
thinking-learning	College/University	Inside the minds of animals	Bryan B Rasmussen	05:13
thinking-learning	College/University	Why tragedies are alluring	David E. Rivas	04:26
thinking-learning	College/University	How to use a semicolon	Emma Bryce	03:36
thinking-learning	College/University	The benefits of a bilingual brain	Mia Nacamulli	05:04
thinking-learning	College/University	The famously difficult green-eyed logic puzzle	Alex Gendler	04:42
thinking-learning	College/University	How plants tell time	Dasha Savage	04:20
thinking-learning	College/University	How people rationalize fraud	Kelly Richmond Pope	04:35
thinking-learning	College/University	The math behind Michael Jordan’s legendary hang time	Andy Peterson and Zack Patterson	03:46
thinking-learning	College/University	How I responded to sexism in gaming with empathy	Lilian Chen	07:00
thinking-learning	College/University	The complex geometry of Islamic design	Eric Broug	05:07
thinking-learning	College/University	Sunlight is way older than you think	Sten Odenwald	04:37
thinking-learning	College/University	What is leukemia?	Danilo Allegra and Dania Puggioni	04:33
thinking-learning	College/University	How to spot a counterfeit bill	Tien Nguyen	04:06
thinking-learning	College/University	How brass instruments work	Al Cannon	04:12
thinking-learning	College/University	Earworms: Those songs that get stuck in your head	Elizabeth Hellmuth Margulis	04:46
thinking-learning	College/University	Can robots be creative?	Gil Weinberg	05:27
thinking-learning	College/University	Plato’s Allegory of the Cave	Alex Gendler	04:33
thinking-learning	College/University	Why it’s so hard to cure HIV/AIDS	Janet Iwasa	04:31
thinking-learning	College/University	The real story behind Archimedes’ Eureka!	Armand D'Angour	04:42
thinking-learning	College/University	The history of museums	J. V. Maranto	05:44
thinking-learning	College/University	Why are some people left-handed?	Daniel M. Abrams	05:07
thinking-learning	College/University	I Forgot My Phone	02:11
thinking-learning	College/University	How do dogs "see" with their noses?	Alexandra Horowitz	04:28
thinking-learning	College/University	How spontaneous brain activity keeps you alive	Nathan S. Jacobs	05:18
thinking-learning	College/University	How do vaccines work?	Kelwalin Dhanasarnsombut	04:36
thinking-learning	College/University	Einstein's miracle year	Larry Lagerstrom	05:16
thinking-learning	College/University	The benefits of a good night's sleep	Shai Marcu	05:45
thinking-learning	College/University	I'm Batman	Amy Wray	05:48
thinking-learning	College/University	The great brain debate	Ted Altschuler	05:20
thinking-learning	College/University	Why elephants never forget	Alex Gendler	05:23
thinking-learning	College/University	How playing an instrument benefits your brain	Anita Collins	04:45
thinking-learning	College/University	Not all scientific studies are created equal	David H. Schwartz	04:27
thinking-learning	College/University	The Infinite Hotel Paradox	Jeff Dekofsky	06:00
thinking-learning	College/University	The business logic of sustainability	Ray Anderson	15:52
thinking-learning	College/University	How art can help you analyze	Amy E. Herman	04:50
thinking-learning	College/University	The surprising truth about what motivates us	10:48
thinking-learning	College/University	Click Your Fortune Episode 2 (Demo)	03:26
thinking-learning	College/University	How to set the table	Anna Post	03:27
thinking-learning	College/University	Dare to educate Afghan girls	Shabana Basij-Rasikh	09:37
thinking-learning	College/University	From mach-20 glider to humming bird drone	Regina Dugan	25:02
thinking-learning	College/University	Networking for the networking averse	Lisa Green Chau	03:31
thinking-learning	College/University	Working backward to solve problems	Maurice Ashley	05:57
thinking-learning	College/University	The tribes we lead	Seth Godin	17:27
thinking-learning	College/University	The danger of science denial	Michael Specter	16:30
thinking-learning	College/University	What adults can learn from kids	Adora Svitak	08:14
thinking-learning	College/University	Our loss of wisdom	Barry Schwartz	21:20
